date 1,date 2,date 3
Item_87,Item_40,Item_40
Item_56,Item_56,Item_57
Item_36,Item_57,Item_77
Item_100,Item_88,Item_36
Item_18,Item_18,Item_18
Item_47,Item_89,Item_47
Item_38,Item_21,Item_38
Item_21,Item_20,Item_21
Item_20,Item_31,Item_20
Item_51,Item_69,Item_31
Item_58,Item_92,Item_69
Item_25,Item_96,Item_82
Item_73,Item_46,Item_86
Item_17,Item_68,Item_94
Item_24,Item_51,Item_46
Item_70,Item_58,Item_25
Item_74,Item_25,Item_25
Item_6,Item_53,Item_53
Item_37,Item_32,Item_32
Item_15,Item_72,Item_72
Item_52,Item_33,Item_73
Item_29,Item_17,Item_33
Item_11,Item_24,Item_17
Item_27,Item_70,Item_24
Item_85,Item_30,Item_30
Item_66,Item_79,Item_74
Item_3,Item_84,Item_6
Item_97,Item_6,Item_37
Item_91,Item_15,Item_15
Item_39,Item_76,Item_52
Item_65,Item_29,Item_11
Item_10,Item_11,Item_27
Item_98,Item_3,Item_66
Item_49,Item_71,Item_3
Item_2,Item_65,Item_71
Item_14,Item_10,Item_39
Item_61,Item_90,Item_10
Item_13,Item_49,Item_61
Item_26,Item_2,Item_2
Item_75,Item_14,Item_14
Item_4,Item_95,Item_13
Item_48,Item_13,Item_26
Item_54,Item_50,Item_50
Item_16,Item_78,Item_34
Item_99,Item_34,Item_4
Item_23,Item_75,Item_48
Item_44,Item_93,Item_45
Item_43,Item_4,Item_54
Item_1,Item_45,Item_16
Item_8,Item_16,Item_80
Item_12,Item_23,Item_23
Item_9,Item_44,Item_1
Item_41,Item_83,Item_8
Item_5,Item_43,Item_12
Item_7,Item_1,Item_9
Item_42,Item_8,Item_55
Item_59,Item_12,Item_35
Item_22,Item_9,Item_5
Item_67,Item_41,Item_7
Item_63,Item_35,Item_42
Item_28,Item_55,Item_62
Item_19,Item_5,Item_59
,Item_7,Item_64
,Item_62,Item_60
,Item_64,Item_22
,Item_60,Item_67
,Item_63,Item_81
,Item_28,Item_19
,Item_19,
,
